ja,Unique_Entities
0,http://purl.org/dc/terms/subject
1,http://dbpedia.org/property/name
2,http://dbpedia.org/property/team
3,http://dbpedia.org/property/teamDescriptor
4,http://dbpedia.org/property/teams
5,http://dbpedia.org/property/leagues
6,http://dbpedia.org/property/stadiumName
7,http://dbpedia.org/ontology/location
8,http://dbpedia.org/property/location
9,http://dbpedia.org/property/hqCity
10,http://dbpedia.org/property/locationTown
11,http://dbpedia.org/property/architect
12,http://dbpedia.org/ontology/architect
13,http://dbpedia.org/property/operator
14,http://dbpedia.org/property/structuralEngineer
15,http://xmlns.com/foaf/0.1/homepage
16,http://dbpedia.org/property/country
17,http://dbpedia.org/property/clubs
18,http://dbpedia.org/property/clubList
19,http://dbpedia.org/property/union
20,http://dbpedia.org/property/team
21,http://dbpedia.org/property/state
22,http://dbpedia.org/ontology/state
23,http://dbpedia.org/ontology/country
24,http://dbpedia.org/ontology/participant
25,http://dbpedia.org/property/champion
26,http://dbpedia.org/property/mostChamps
27,http://dbpedia.org/property/games
28,http://dbpedia.org/ontology/games
29,http://dbpedia.org/property/logo
30,http://dbpedia.org/property/president
31,http://dbpedia.org/property/vicepresident
32,http://dbpedia.org/property/head
33,http://dbpedia.org/property/director
34,http://dbpedia.org/ontology/wikiPageID
35,http://dbpedia.org/property/contact
36,http://dbpedia.org/property/venue
37,http://dbpedia.org/property/region
38,http://dbpedia.org/property/origins
39,http://dbpedia.org/property/event
40,http://dbpedia.org/property/paralympic
41,http://dbpedia.org/ontology/wikiPageWikiLink
42,http://dbpedia.org/property/caption
43,http://dbpedia.org/property/title
44,http://dbpedia.org/property/header
45,http://dbpedia.org/property/category
46,http://dbpedia.org/property/network
47,http://dbpedia.org/property/contact
48,http://dbpedia.org/property/website
