Queries,Film,Sport,Person,Drug,Music,History
Q1,4,171,11008,1,7286,6
Q2,208,2,992,88,9.812,2
Q3,497,2,442,131,87,441
Q4,1,32,510,33,4,10
Q5,71,8,562,16,7745,56
Q6,7680,1,152,8,1530,8
Q7,9858,6,22,1,30,1
Q8,2513,132,4834,1,202,37214
Q9,1840,80,9263,10,165922,1
Q10,1,1,119,2,4,9
