,Film,Sport,Person,Drug,Music,History
Q1,1,0.98,1,0.84,1,1
Q2,0.89,1,1,0.75,1,1
Q3,1,1,1,0.76,0.97,0.98
Q4,0.44,1,0.85,1,0.82,0.66
Q5,1,0.86,0.97,0.56,1,0.88
Q6,0.83,0.62,0.99,0.76,1,0.97
Q7,0.99,0.99,0.85,0.44,0.84,1
Q8,0.99,0.87,1,0.84,0.77,0.99
Q9,0.84,1,1,0.89,1,0.8
Q10,1,0.73,1,0.57,1,0.97
